"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C11,C12,C13,C14,C16,C18,C20,C22,C25","12","0.1uf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C4,C5,C8,C9,C10,C15,C17,C19,C21,C23,C24","11","10uf","","","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"C6,C7","2","22pf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"D1,D2,D3","3","LED","","","","LED_THT:LED_D3.0mm","~"
"F1","1","150ma1","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"F2","1","750ma1","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"J1","1","ESP_32_LEFT","","","","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","~"
"J2","1","ESP_32_RIGHT","","","","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","~"
"J3","1","USB_C_Receptacle_PowerOnly_6P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J4","1","Conn_01x07","","","","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","~"
"J6","1","Conn_01x01","","","","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~"
"J8","1","Conn_01x02","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"J9","1","Conn_01x03","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"J10","1","Conn_01x06","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"OLED1","1","Conn_01x04","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"Q1,Q2,Q3,Q4","4","PN2222A","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"R1,R10,R15,R17,R47,R49,R55,R57,R64,R66","10","1k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R2,R48","2","1.5k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R3,R6","2","2.2k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R4,R5","2","5.1k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R7,R8,R11,R16,R18,R19,R20,R21,R22,R26,R27,R46,R65,R67","14","10k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R9,R25","2","100","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R12,R56,R58","3","100k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R13,R45","2","2k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R14","1","3.3k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R23","1","15k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R24","1","12k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R59","17","220","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R44","1","1.6k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R50","1","3k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R51,R52,R53","3","22","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R54,R60","2","330","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R61,R62,R63","3","33","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R68","1","4.5k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R69","1","6k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16","16","SW_SP3T","","","","SP3T:SS13D07VG4_SHN","~"
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1,U9","2","MCP6022","","","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://ww1.microchip.com/downloads/en/devicedoc/20001685e.pdf"
"U2","1","MCP6004","","","","Package_DIP:DIP-14_W7.62mm_Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
"U3,U11","2","CD4052B","","","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/cd4052b.pdf"
"U4","1","MCP3208","","","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/21298c.pdf"
"U5","1","AD620","","","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","https://www.analog.com/media/en/technical-documentation/data-sheets/AD620.pdf"
"U6,U10","2","LM311","","","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","https://www.st.com/resource/en/datasheet/lm311.pdf"
"U7","1","74HCT125","","","","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS125"
"U8","1","ICL7660","","","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://datasheets.maximintegrated.com/en/ds/ICL7660-MAX1044.pdf"
"U13","1","ATmega328P-P","","","","Package_DIP:DIP-28_W7.62mm_Socket_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"Y1","1","16MHz","","","","Crystal:Crystal_HC49-U_Vertical","~"
"ZIF1","1","~","","","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","~"
